,知乎名称,个人介绍,性别,是否为知乎会员,粉丝数,知乎回答数
5021,功夫panda,小姐姐什么的请务必给我点赞（｡ò ∀ ó｡）,不详,非会员,9,11
5072,贫贱就移富贵就淫,车联网,男,非会员,9,32
5089,冰阔落,产品经理,女,非会员,9,13
5184,张莉,ML  DL,不详,非会员,9,0
5341,任又土,,女,会员,9,0
5409,丧家犬也有乡愁,,男,非会员,9,1
5465,猛人一枚,,男,非会员,9,1
6117,heyjenny,公众号：燃烧的花园。思考与成长，和你一起，每天进步一点点！,不详,非会员,9,7
6146,Jogis,artist,男,非会员,9,2
6262,夕惕若,在妙龄少女们身旁,不详,非会员,9,45
6291,巫狸兦秝,磕盐党,男,非会员,9,2
6385,沙滩看浪,靠谱青年，微信公众号：壹双  ID：R5X_yishuang,男,非会员,9,3
6552,宋东东,,男,非会员,9,1
6619,姚鹏晖,太行山下,男,非会员,9,5
6913,知行合一,学过点飞行器，曾经有点文艺，现在只想赚钱。,男,非会员,9,12
6992,Xiao睿,前途迷茫的工科狗,男,非会员,9,10
7060,cheerxing,医生,不详,非会员,9,2
7065,彼岸,你令我颠倒这双眼,男,会员,9,3
7107,背着吉他的乌鸦,医学影像技术在读,不详,非会员,9,26
7365,世傲,高级动物,不详,非会员,9,15
7384,白杨,,不详,非会员,9,2
7437,吴俊江,,男,非会员,9,20
7544,曾无圣,地图爱好者,不详,非会员,9,5
7574,握了个草,胜也好，败也罢，就是不能同它讲和！,男,非会员,9,9
7594,马龙,我执,男,非会员,9,0
7692,流澜,work hard，play harder,女,非会员,9,3
7837,小成师傅,那我懂你意思了,不详,非会员,9,1
7968,小挺胸,,男,非会员,9,2
8058,Alisa,BPD合并双相2型，努力变得更好,女,非会员,9,0
8106,大风5913,乐观的悲观主义者,不详,非会员,9,16
8586,郝楠楠,心有多大，天地就有多大~,女,非会员,9,8
8657,Miro,naive,男,非会员,9,11
8788,Breadsir,一个不正经的雇主品牌策划师,不详,非会员,9,2
8979,Poet田谢,《思维裂变》课程创始人,男,非会员,9,1
9068,Battens,学生,男,非会员,9,16
9257,一坨紫菜花,不知所谓,男,非会员,9,8
9334,Excuse me,,女,非会员,9,5
9346,joseph,我是,男,非会员,9,11
9829,自由的人额,,男,非会员,9,0
9942,Littlejoy,学生,女,非会员,9,8
9964,司醋醋同学,,女,非会员,9,1
10186,jianwen,年轻人就应该活出年轻人的样子！,不详,非会员,9,3
10296,米科,,男,非会员,9,0
10335,孙言言,喜欢自我剖析的敏感症患者,女,非会员,9,9
10405,凉小生,学生,不详,非会员,9,6
10419,cinderellayuyu,things happen for the best,女,非会员,9,16
10428,李正杰,机械,男,非会员,9,76
10518,王恺,软件工程师+设计师+机器学习初学者+一个想用编程改变世界的人 ,男,非会员,9,9
10557,陌上青花,Hello World,男,非会员,9,275
10572,就特么你叫夏洛啊,销售,男,非会员,9,0
10676,踽踽,大学生,女,非会员,9,3
10712,无名,,不详,非会员,9,2
10888,花十三,强迫症患者，独行侠,女,会员,9,0
10980,啊远,没有什么好说的,男,非会员,9,4
131,徐菲菲,,女,非会员,8,2
227,vindcen,格物致知,不详,非会员,8,0
237,Demos,,女,非会员,8,6
257,烦高,,男,非会员,8,4
489,坤呐,,不详,非会员,8,6
525,无情老玩家,各自奔前程的身影匆匆渐行渐远。,不详,非会员,8,15
580,哇塞你好萌,,男,非会员,8,51
749,四点,人生，可好玩了！,不详,非会员,8,0
761,Danny,,男,非会员,8,2
1001,卡布,,不详,会员,8,0
1088,NCC-1701,存疑，批判,男,非会员,8,1
1149,danny yuan,,男,非会员,8,0
1349,孤城,大学生,不详,非会员,8,14
1382,Kagarino Kirie,互联网最缺乏的是判断力。,不详,非会员,8,44
1568,warrrio,,男,非会员,8,15
1640,加辣,你开心就好,男,非会员,8,27
1663,掌舵,npu/计算机/机器人,不详,非会员,8,1
1817,火之超级高兴哒,过于理想化。,男,非会员,8,5
1832,歆媛,费歆媛,女,会员,8,0
1856,Jevon,想要成为信息安全工程师 (逃,不详,非会员,8,0
2074,沈小峰,搞七捏三,男,会员,8,0
2179,HanaVi,,男,非会员,8,20
2188,kane,,男,非会员,8,25
2486,sys8833,克莱登大学大庆分校自动化系主任,男,非会员,8,20
2505,王思颖,土木,不详,非会员,8,0
2547,橘子北,。冰水上瘾重度患者。,男,非会员,8,18
2588,羊羊,pick up the phone and dialing,不详,非会员,8,3
2665,邓江平,邻溪树,不详,非会员,8,4
2878,胡超,,男,非会员,8,1
2974,兆赫,MHz,女,非会员,8,3
2977,Vltava,克莱顿大学现代文言文专业,男,非会员,8,9
3048,林树,外贸,女,非会员,8,5
3085,linkinvictor,,男,非会员,8,0
3176,喀秋小莎,A hero and a boy,不详,非会员,8,10
3429,chandeen,电子信息工程师,不详,非会员,8,0
3466,轮回,,男,非会员,8,17
3562,伤口是爱的笔记,,不详,非会员,8,5
3678,GuangZheng-Ma,最喜欢知乎了，个个都是人才，说话又好听，我超喜欢这里,男,非会员,8,9
3719,你硕什么,why so serious?,男,非会员,8,64
3755,西宫硝子老公,哦哟滑稽,不详,非会员,8,26
3775,Monotony,正在冒险转行PM的俄语小翻译～,女,会员,8,1
3843,二哈牙, 就这样吧,女,会员,8,5
3844,工口小王子,学生,不详,非会员,8,1
3964,你杀了我的大宝,山口山伪痴迷患者,不详,非会员,8,0
4088,丘山,真诚的人赢得尊重,女,非会员,8,23
4106,nobodyZ,,男,非会员,8,11
4178,心远地自偏,读书 计算机 javascript python web前端 哲学 历史 经济 社会,不详,非会员,8,44
4204,everglow,皮就完事了,女,会员,8,5
4235,肖国吉肠胃,,男,非会员,8,2
4272,千反田奉太郎,咸鱼如我，无fake说,不详,非会员,8,60
4407,冰冷男公关,,男,非会员,8,0
4419,萝卜萝卜我是兔子,重庆妹子爱吃火锅,女,非会员,8,3
4437,陆陆,,不详,非会员,8,0
4475,咖啡不加糖,一块扯淡自留地 一个伪文青,不详,非会员,8,9
4495,李昂頔,,男,非会员,8,1
4721,xialinglong,范德彪忠实粉丝,男,非会员,8,1
4781,起风了,,不详,非会员,8,0
4922,笨拙还木桶,学生,女,非会员,8,3
4942,选择性的自我欺骗,信息与计算科学,男,非会员,8,19
4968,写意诗,多年以后 是情深缘浅 还是纸短情长,不详,非会员,8,20
5025,风动草,,男,非会员,8,9
5046,苏吉,可能引起不适的人,不详,非会员,8,34
5159,eliot,,男,非会员,8,2
5237,仳离,大龄待嫁女青年,女,非会员,8,1
5254,东爵,後進晚輩,男,非会员,8,0
5363,过气研究僧,,男,非会员,8,56
5499,共我,这个人很能吃，什么也没留下,男,非会员,8,0
5543,HZW,请问C35试块怎么做合格。,不详,非会员,8,6
5596,郝宇,用过60+部智能手机,不详,会员,8,8
5667,胖子,,男,非会员,8,0
5753,文青,,不详,非会员,8,0
5891,Susie Shu,,女,非会员,8,2
5931,Actinoi,Oler,男,非会员,8,10
5955,归来,,男,非会员,8,9
5959,战斗者灵魂,,女,非会员,8,1
5967,赵狗狗,,男,会员,8,0
6018,你不要搞事情,没啥说的,男,非会员,8,11
6052,叶小慢,A player.,女,非会员,8,3
6185,Publius,,不详,非会员,8,0
6190,周肥,迟早有一天，你会拉黑我。,男,非会员,8,2
6266,余平安,,不详,非会员,8,3
6439,Mussi,夜阑卧听风吹雨，铁马是你，冰河也是你,女,非会员,8,7
6515,脑思,,男,非会员,8,3
6520,朱晓剑,,不详,非会员,8,0
6536,王小李,请看着我的眼睛，里面有个肥宅。,男,非会员,8,23
6596,ROY1994,蒟蒻oier,不详,非会员,8,6
6620,嘿哈嘿吼,计算机在读 快读不下去了,女,非会员,8,45
6623,一个普通的人,,男,非会员,8,10
6746,阵风,老子,不详,非会员,8,0
6773,牛超,虚心，求学习,男,非会员,8,21
6804,NBIC,超人类主义者,不详,会员,8,1
7035,berg said,无可奈何花落去，似曾相识燕归来,男,非会员,8,41
7052,刃无锋,,男,非会员,8,1
7283,山代方子,,男,非会员,8,4
7449,加贝,关注更多的人，懂得更多的东西！,男,非会员,8,3
7748,Carl Olivia,,男,非会员,8,1
7816,Muse,,男,会员,8,0
7853,久病成医,,不详,非会员,8,0
8116,阿官,,不详,非会员,8,1
8220,Gemini,马不扬鞭自奋蹄,女,非会员,8,59
8282,白夜长河,我一睁眼即是未来,男,非会员,8,1
8291,煤炭,电网,不详,会员,8,1
8373,greg,看看不说话。,男,非会员,8,5
8486,千江月,一个无聊的人,不详,非会员,8,19
8570,胖纸统治世界,电商运营，不靠谱青年，喜好吃肉与妹子，勿扰,男,非会员,8,0
8942,坚强的软柿子,出淤泥而不染，毕竟瓜而不皮,不详,非会员,8,11
9019,無限重啓,none.,男,非会员,8,3
9131,暴风城看门的2.0,但当涉猎，见往事耳,不详,非会员,8,35
9137,有一些梦从不曾眠,非典型工科男,男,非会员,8,20
9273,微鸢,银行,不详,非会员,8,6
9278,Oliverns,,不详,非会员,8,6
9295,汪小七,不爱健身的汽车在读者不是好厨子,男,非会员,8,9
9415,李然,教书匠,不详,非会员,8,9
9465,阳夏家声,小学生,不详,非会员,8,0
9469,早早安,infp。,女,非会员,8,52
9485,鲸落,伪文青的自我修养,男,非会员,8,48
9555,咸鱼X,玄学工程师,不详,非会员,8,1
9585,妍一,hiya stranger,女,非会员,8,18
9970,zhj0,,不详,非会员,8,0
10018,Arwen,学生,女,非会员,8,5
10219,许冉,弯的，热恋中，王杰脑残粉,女,非会员,8,1
10320,不忘初心,Seize the day,男,非会员,8,24
10367,裴迪,工程师,不详,非会员,8,9
10491,君屌丝,,女,非会员,8,0
10584,夏九流不下流,稳健,男,非会员,8,10
10776,清的谈,,男,会员,8,0
10935,钟海风,三林联合银行，实践重于承诺，欢迎购买国民基金，以实际行动支持前线官兵。,男,非会员,8,74
13,Amy world,开始拯救自己,女,非会员,7,1
137,你可知道,要自由   要钱,不详,非会员,7,12
271,罗纳尔少,,男,非会员,7,9
307,Sperate.E,,不详,非会员,7,18
312,阿斗呦u,从来如此，便对吗？,男,非会员,7,1
812,SparkyTruck,,不详,非会员,7,4
854,朝圣之路,若无闲事挂心头，便是人间好时节,女,非会员,7,19
947,赵力锐,笃学实干，思贤求智,男,非会员,7,0
1003,江南,,男,非会员,7,0
1064,瀚熊猫乡,努力保持——清醒,男,非会员,7,46
1128,宋冬野,美剧/民谣/Stan,男,非会员,7,2
1171,无鋒,00后，在路上,男,非会员,7,33
1202,Poppy,旅游管理本科生,女,非会员,7,0
1312,我是正经人,玩家,不详,非会员,7,13
1337,不必说不必懂,土木狗,不详,非会员,7,15
1357,李誉,设计师，单身狗,男,非会员,7,8
1384,马松,物联网行业,男,非会员,7,1
1391,SherryCat,,男,非会员,7,0
1496,Mahone,磕了牙的松鼠,男,非会员,7,24
1540,热心网友汪先生,网络一线牵，珍惜这段缘。,男,非会员,7,3
1734,世界人,,男,非会员,7,31
1780,子宁,微信公众号：一块鸡肋,男,非会员,7,13
1782,默公子,陌上人如玉，公子世无双。,不详,非会员,7,0
1855,XZRA,民族利益永远高于意识形态,不详,非会员,7,13
1862,SSSSSS RRRRR,很喜欢这个世界,男,会员,7,0
1910,sugar,,不详,非会员,7,0
1943,王坤,创造新事物，改变世界。,男,非会员,7,1
2041,RRValhalla,Alpha &amp; Delta,男,会员,7,10
2192,聂叔,聂叔帝国集团董事会主席兼首席执行官,男,非会员,7,0
2212,白马非马,不太乐观,男,非会员,7,2
2270,zheyi,j可爱(๑• . •๑),男,非会员,7,21
2391,寒泊,,男,非会员,7,0
2538,若雪,旅行/美妆/舞蹈/计算机视觉,女,非会员,7,3
2579,试试神奇海螺,,不详,非会员,7,7
2649,尧西,非理性的理想主义者。,不详,非会员,7,12
2743,严亿尔,学生，爱健身，爱旅行，爱阅读，除了学习什么都好，可弯可直,不详,非会员,7,63
2838,甜心瓜,,女,非会员,7,26
2890,Miral-Chan,PHPer,男,非会员,7,7
2913,似水无痕,,男,非会员,7,6
3055,一支萝卜,Energy Harvesting Computing，IoT,男,非会员,7,8
3065,柚子,,女,非会员,7,1
3086,流水唱黄鸡,,不详,非会员,7,0
3202,天下第二keng,,不详,非会员,7,99
3222,Konmey Hou,学生,男,非会员,7,2
3337,李嘉宾,广泛阅读 减肥小达人 电影爱好者,男,会员,7,5
3370,街角的哑剧,,男,非会员,7,63
3415,一条瞌睡虫,医生,不详,非会员,7,5
3543,uzingx,,男,非会员,7,0
3712,桓桓桓桓,,不详,非会员,7,8
3829,水镇农家院,电商运营,不详,非会员,7,8
3889,霸王花,拜金的理想主义|勤奋的享乐主义,女,非会员,7,7
3931,jimmy45,业余美式橄榄球运动员,不详,非会员,7,7
4038,带你去冰岛好吗,,男,非会员,7,0
4043,大锤大锤大大锤,,男,非会员,7,0
4168,任国强,,女,非会员,7,18
4177,Damon Wang,DL,男,非会员,7,0
4207,十一,单机知乎er,男,非会员,7,27
4208,LegendaryQ,,男,会员,7,0
4221,溯洄,一只在油锅里挣扎着翻身的咸鱼(つД`)ノ,不详,非会员,7,13
4328,洞湖爷,没什么梦想的伪富二代，希望能靠打游戏发家致富的产品狗,男,非会员,7,0
4347,天堂,,不详,非会员,7,8
4436,亦木暮冬,0,男,非会员,7,21
4612,Gypsy,即将走遍五湖四海的男人,不详,非会员,7,5
4710,芦丽琴,,女,非会员,7,18
4736,蓝领带,,不详,非会员,7,7
4797,听风说旧人,一个非常废的安全人士,男,非会员,7,10
4857,南音初巷,微信公众号 ：南音初巷,不详,非会员,7,2
4863,傻小孩,医学生,女,非会员,7,20
4907,曹彦,软件工程,男,非会员,7,0
5043,从来不会错过宵夜,我妈总说我显得比实际年龄要大,男,非会员,7,0
5078,扶我起来i,,男,非会员,7,53
5263,空瓶,现已火速加入黑名单豪华套餐,不详,非会员,7,30
5354,Snow,搭车旅行、自由主义、交通运输与管理（民航）本科在读,男,非会员,7,54
5477,厚泉,,不详,非会员,7,0
5551,YANGJAIQ,无所畏惧,女,非会员,7,42
5600,CloudINJoke,电子音乐人,男,非会员,7,11
5764,烘云托月 月下花明,一位解决问题的人,不详,非会员,7,5
5794,十里长街,ta还在你心里活着,女,非会员,7,3
5802,Yunghsin,愿我如早七点二十七摄氏度、环绕你的新鲜空气。,不详,非会员,7,29
5815,博文,coder,不详,非会员,7,76
5862,曌赟,想用尽毕生的努力去抵达生活的平凡,男,非会员,7,0
5909,八百标兵咖啡,,不详,非会员,7,13
5983,小王子,电子信息工程的大师,不详,非会员,7,7
6170,甘盛斌,一个计算机系毕业，搞过平面、网页又在学视频和摄影的菜鸟电商美工，目前转行UI,男,非会员,7,15
6195,挪威耀阳,在余光中等待阴影,男,非会员,7,19
6205,铁憨憨,轻度社交障碍,男,非会员,7,9
6245,act now,我想人总是像他们想的那样孤单。,女,非会员,7,2
6321,肖凯,java 打杂,男,非会员,7,22
6376,cynthiacc,「逃离大气氛 想得复杂那不安」,女,非会员,7,2
6394,U-87,风度翩翩的猪肉佬,男,非会员,7,23
6426,慕阳,天地一沙鸥,女,非会员,7,19
6864,富洋洋FOYOYO,无人售货,不详,非会员,7,2
7097,罗毅,研究社会工程学的程序猿,男,非会员,7,0
7255,蓬蓬澎澎,,男,非会员,7,2
7305,乾元亨利贞,,女,非会员,7,10
7328,火瞳,,女,非会员,7,22
7363,feng,,男,非会员,7,5
7374,紫麟,UI设计/UI讲师/在线教育从业人员,男,会员,7,3
7595,蔡家俊,非洲创业者,男,非会员,7,7
7642,InterestedReader,蠢又倔,男,非会员,7,20
7658,Alan Zhao,产品经理/摇滚乐,男,非会员,7,9
7664,长恨人心,高中在读,女,非会员,7,1
7744,释迦moni,此人不善，切勿接近,男,非会员,7,30
7784,吃芹菜会飞,生活不止眼前的苟且，还有远方的苟且。,不详,非会员,7,0
8026,穿破的马甲,网络营销、电子商务、数据分析,不详,非会员,7,3
8188,千晓,quod erat demonstrandum,不详,非会员,7,21
8207,猪排瘦瘦,若你喜欢怪人，其实我很美,女,非会员,7,11
8262,李春露,有我的地方，就会有希望,不详,非会员,7,4
8507,王玥,传销咨询专家,女,非会员,7,1
8544,如是我闻,,不详,非会员,7,0
8563,专业户bishop,,不详,非会员,7,1
8619,Lucas,资深loler 白天睡觉户,不详,非会员,7,60
8768,胡小刀,,男,非会员,7,12
8793,哎呦喂我的天,,男,非会员,7,52
8843,多面女子,"仅仅表达观点，不为给谁洗脑。
以上。",不详,非会员,7,0
8963,猪头肉,篮球、电子、自动化、房地产、政治,不详,非会员,7,1
9005,学生时代,学生,不详,会员,7,2
9017,Kyle,远行,男,非会员,7,8
9093,失之我命,随心所欲不逾矩,不详,非会员,7,15
9307,唔唔唔,,女,非会员,7,2
9458,好好医生one,外科医生,不详,会员,7,0
9524,旋木,,不详,非会员,7,3
9596,114468,,不详,非会员,7,3
9690,狐狸尾巴藏不住,好吃不如饺子，可爱不如老子。,女,非会员,7,6
9716,拿自己说事,,男,非会员,7,1
9720,二哈,一个喜欢跑步与读书的帅比,男,非会员,7,5
9850,深蓝,设计师,不详,非会员,7,5
9932,溺水的鱼,知乎很不错，我是来欣赏风景的,不详,非会员,7,55
9945,吴二飞,,不详,非会员,7,2
10198,茜茜,不做礼貌的禽兽，不做自由的走狗。,女,非会员,7,3
10293,风中一匹狼,,男,非会员,7,0
10326,折戟沉沙,,不详,非会员,7,60
10364,半只春蝉,好话坏话情话都只说一半,不详,非会员,7,11
10445,宋俊杰,,男,非会员,7,0
10496,秦荣顺,真传一句话，假传万卷书,不详,非会员,7,7
10497,饭儿李,,男,非会员,7,31
10519,believe,为自由而生。,男,非会员,7,18
10542,石页,IT，计算机，计算机安全，互联网安全，大数据，人工智能，机器学习，云安全，云计算,不详,非会员,7,6
10804,小白编号0823,,男,非会员,7,9
10942,李露,,女,非会员,7,0
10961,罗切斯特,学生,男,非会员,7,0
5,kissen zhang,,男,非会员,6,0
33,奇小方的兔子跳,一心想给给滚滚铲屎,男,非会员,6,0
57,Cecilia,一个跳芭蕾的姑娘,女,非会员,6,23
120,在路上,雨落花心，自成甘苦。水归器内，各现方园。,不详,非会员,6,6
134,神经病学生,有一些想用问题来学习的想法。,男,非会员,6,18
198,橘子和橘子猫,,女,非会员,6,12
256,上善若水622,商人,不详,非会员,6,1
291,迷途的猫,无背景人士,女,非会员,6,2
315,谷仓创业观察,产品创业来谷仓,不详,非会员,6,2
321,小江,学生,不详,非会员,6,11
341,bridow,不会做设计的产品不是一个好画师,不详,非会员,6,7
424,Silvarna,唔...,男,非会员,6,2
429,王泽安,学生,男,非会员,6,0
496,朱鸿基,windows dev,男,非会员,6,1
523,WallE,,男,非会员,6,5
528,老大哥在看着你,飞行员,不详,非会员,6,0
561,随风入梦,学生一个,男,非会员,6,28
627,Franklin,学生 理工男 二次元 留学,不详,非会员,6,0
647,肥猫,,不详,会员,6,38
876,小黄人,,不详,非会员,6,1
898,Sjtu.R,皮囊渐丑，灵魂如旧。,男,非会员,6,7
912,夏子墨,,不详,非会员,6,4
917,北宫岚风,,不详,非会员,6,10
1000,Cheyann,是一只小蘑菇鸭,女,非会员,6,3
1178,王大拿,公众号：寻梦资源分享网，为推荐喜欢的电影而生！,不详,非会员,6,11
1203,贝壳,heihei,男,非会员,6,67
1211,优雅的世界,湖心亭看雪,男,非会员,6,0
1263,坐海平江米二郎,跟装逼犯战斗一万年,男,非会员,6,45
1276,悟心梦博,地铁盾构电气工程师,不详,非会员,6,34
1280,nana,学生,不详,非会员,6,7
1296,ilnale,,女,非会员,6,0
1310,坚持自己的目标呀,,女,非会员,6,2
1333,该用户已注销,,男,非会员,6,4
1362,Simon Plus,运营=CEO？,男,非会员,6,6
1530,来碗羊汤,IT Dog,男,非会员,6,0
1661,奇點PETER,,男,非会员,6,8
1730,金戈鐵馬,,男,非会员,6,29
1769,灵界,,男,非会员,6,8
1800,wangsir,土建工程师,不详,非会员,6,8
1926,阿亮之火,本科生,不详,非会员,6,29
1963,与子绕花间,轻舟已过万重山。,女,非会员,6,0
2013,两两虫虫,,男,非会员,6,30
2050,奔跑的阳,一个热爱电力电子的小菜狗,男,非会员,6,4
2110,Nela,被命运反复捉弄的你啊，收藏了多少动人的情话,男,非会员,6,5
2166,张先生,冷静 宽容 乐观 进取,男,非会员,6,1
2229,天空的慕尼黑,,不详,非会员,6,1
2254,斯菲亚亲王,家里蹲,男,非会员,6,33
2355,小郭靖,,男,非会员,6,14
2375,杨小波,打鼓的软件工程师,不详,非会员,6,2
2387,阿卫,成年人的世界没有容易两个字。,不详,非会员,6,57
2389,昌西,微信公众号：一两文字,女,非会员,6,27
2503,北湖,,女,非会员,6,16
2520,earnan,活在2100年的人,不详,非会员,6,8
2604,内酷,任重道远,男,非会员,6,17
2621,阿珲,吃,不详,非会员,6,0
2651,再见来不及挥手,“十年旧约江南梦，独听寒山半夜钟”,男,非会员,6,22
2708,杀错人了啊,为人民服务,男,非会员,6,1
2964,xgx1,想做游戏的人,男,非会员,6,21
2984,画个圈圈挖个坑,,男,非会员,6,8
3043,Steven Li,知乎这也,男,非会员,6,5
3047,毛尖,猪勺子,男,非会员,6,7
3128,木盒房屋,,女,会员,6,21
3198,狮子,家庭主夫,不详,非会员,6,14
3238,沧祭,向死而生！,不详,非会员,6,0
3239,神走位,什么都想看 什么都想学,男,非会员,6,0
3286,快乐肥宅水,,女,非会员,6,1
3511,一只汪,。。。,男,非会员,6,0
3618,Roy Luo,Following your brain is tough.,男,非会员,6,4
3674,凌晨l,,不详,非会员,6,10
3838,朱恩惠,大一/爱好一切新鲜事,男,非会员,6,2
3921,kagaku,工程师,男,非会员,6,1
3934,Phoenix,,不详,非会员,6,16
3992,Adrian,风险投资,不详,非会员,6,0
4023,challenge,,不详,非会员,6,0
4084,芝果,工科生,不详,非会员,6,2
4191,铁雪,万物皆为星尘,男,会员,6,7
4205,hakama,,男,非会员,6,4
4233,爱过才知道痛,神,不详,非会员,6,5
4382,超电磁炮,虽然不知道想表达什么，但是还是粉我一下比较好，以免以后关系生疏，不好借钱。,不详,非会员,6,0
4425,出口,,男,非会员,6,3
4426,脱尘,,女,非会员,6,0
4439,方圆,无,男,非会员,6,1
4481,VMiracleV,设计尸到程序猿,不详,非会员,6,4
4634,chally,放纵狰狞难回首,女,非会员,6,1
4731,铜门后的终极,,男,非会员,6,0
4749,特曼,直面黑暗 保有天真,男,非会员,6,29
4792,马德里风尘,Madridista/Trekker/Materialist/Antitheist,男,非会员,6,0
4815,白羽天灵,,男,非会员,6,2
4831,妖子,在校学渣,男,非会员,6,6
4848,Phillip,,不详,会员,6,0
4867,烟火,,不详,非会员,6,9
4965,孙浩,破乎吃瓜群众,男,非会员,6,2
4966,石心佛,it码农，骑行作死族（膝盖中枪ing），臭脸扮深沉,男,非会员,6,2
4984,没想好,国贸+视光/AOW/羽毛球达人/游戏,男,非会员,6,6
5032,铁名,,不详,非会员,6,31
5054,修伊,这个人很懒，什么介绍都没有,男,非会员,6,2
5073,瓜瓜哥,世俗的浪漫主义,男,非会员,6,3
5085,阿粘,非典型东北妹子。,女,非会员,6,7
5122,JK.WONG,学生,不详,会员,6,1
5150,来去之间,关山难越,不详,非会员,6,4
5207,攸殇,巧诈不如拙诚,女,非会员,6,26
5249,腰子炒饭,,不详,非会员,6,6
5337,波中一叶,守望先锋深度中毒患者,男,会员,6,3
5350,江海寄余生,学生,不详,非会员,6,1
5401,Kirito,爱人不是喜欢 也不是寻欢作乐的伴 而是口吻平常 河畔未曾驶远的船,男,非会员,6,19
5448,祖安怒兽哈士奇,,男,非会员,6,5
5518,韭菜哲学家,代码纺织工。,男,非会员,6,6
5575,朔望,少说多学,不详,非会员,6,21
5581,南瓜的猫,xxyy。,男,非会员,6,1
5586,WithMe,Coz i will be，all that U want。,男,非会员,6,3
5591,醉倚郎肩,学习,男,会员,6,34
5664,黄凯,搬砖,女,非会员,6,13
5668,邓琨腾,华电数学狗,不详,非会员,6,45
5674,Frozen,滚粗的oier,女,非会员,6,5
5675,学生,无脑愤青,男,非会员,6,0
5781,王莽,,不详,非会员,6,3
5869,马得水,电子产品/互联网/电影狂热战士,男,非会员,6,22
5900,不知道,,男,非会员,6,0
5953,呵呵,网络编辑,不详,非会员,6,35
6045,Easter戊辰,PM / Fitness,男,非会员,6,11
6085,李建军,,男,非会员,6,0
6090,武小阳,,男,非会员,6,4
6128,蒜先生,,不详,非会员,6,0
6129,陈浮生,热爱辩论与美食的大学狗,不详,非会员,6,1
6145,拓跋西兮,,女,非会员,6,1
6151,谑长风,不会回答建筑相关问题的建筑痴,女,非会员,6,16
6171,离离原上,,男,非会员,6,17
6279,神剑山庄独行绝客,自由职业者,不详,非会员,6,36
6319,lancer,本科应数，目前学通信,不详,非会员,6,1
6344,号东篱,心中住个苏格拉底,不详,非会员,6,4
6346,轩宇幽冉,一蓑烟雨任平生,男,非会员,6,4
6391,GeraltofRivia,大学生,不详,非会员,6,59
6453,死鱼安乐,陈寄风,男,非会员,6,1
6461,吕化仁,一只小透明,女,非会员,6,40
6482,大卫,说什么王权富贵 怕什么戒律清规,不详,非会员,6,3
6614,寇申,銀行職員,男,会员,6,0
6806,范小贱,魔镜魔镜，谁是这个世上最美丽的女人？您啊,女,非会员,6,10
6873,Freedom,真相探索者,女,非会员,6,33
6954,Colin,自由职业者,男,非会员,6,23
7092,六六,永远喜欢久远寺有珠.jpg,男,会员,6,14
7193,石南,大道至简,不详,非会员,6,30
7394,曾维明,being比to be更重要，致力于成为一名生活家！关注：冥想、互联网、AI,男,非会员,6,0
7429,谷芽阿乐,IB狗,不详,非会员,6,6
7650,哪凉快去哪呆着,,不详,非会员,6,26
7761,张若容,,女,非会员,6,4
7821,许静,高三,不详,会员,6,0
7924,环眼贼,爬山,女,非会员,6,7
8015,桃子,,女,非会员,6,5
8073,旅行者,,不详,非会员,6,0
8085,醉汉,介绍完了你也不认识我,不详,非会员,6,18
8148,李让,,不详,非会员,6,20
8219,Mementomori,,男,非会员,6,0
8237,kawufei,,男,非会员,6,2
8263,zuilili,狗子∪･ω･∪,男,非会员,6,34
8344,蛋炒饭,三尺微命，一介村夫。,男,非会员,6,4
8346,Arsen,数据分析达人，管理改进爱好者，半路子村官，MBA在读,不详,非会员,6,64
8393,跌跌撞撞买果汁,未知人生 最怕认真,女,非会员,6,7
8396,李若虚,一句话怎么介绍的完呢,不详,非会员,6,4
8510,君名Sparkle,凡事不平凡。,男,非会员,6,7
8541,我只想做个好人,专注潮品开发v xiaoyisanoy,不详,非会员,6,42
8557,Yizumi前辈,。。,女,非会员,6,19
8621,逗逗爱吃咸鱼,不接受杠精谢谢。,女,非会员,6,7
8625,辩辩,工科在读,不详,非会员,6,12
8629,微电子HAPPY哥,爱我所知，求我所不知,男,非会员,6,2
8653,dserbuy,世事洞明皆学问，人情练达即文章。,男,非会员,6,25
8673,Magelive,,男,非会员,6,1
8674,woder,高中生 理科生,不详,非会员,6,0
8787,杜继爽,谁敢横刀立马？唯我彭大将军。,不详,非会员,6,11
8832,默然,,不详,非会员,6,57
8883,乌尔班,狗未富贵，怎敢相忘,男,非会员,6,31
8931,牙牙学语,资深,不详,非会员,6,2
8953,adddddddrian,新鲜知识爱好者,男,非会员,6,1
8959,职业撩妹纸,一个假书生,男,非会员,6,11
8970,aaabbbccd,,女,非会员,6,5
9042,叶俊良,游戏策划,男,非会员,6,0
9076,郭小阳,。。。。。,男,非会员,6,36
9085,大老李,中华田园医,男,非会员,6,12
9300,叶微暖,这个人太懒了，什么都没留下。,女,非会员,6,22
9392,许多,有点想法，有点神经,男,非会员,6,3
9411,童宝宝,貓奴,女,非会员,6,0
9580,谭巍,有血有肉,不详,非会员,6,0
9736,啊哈哈哈,Nice to meet you ,女,非会员,6,33
9799,佚名,,男,非会员,6,0
9854,大约在雨季,各种话题的普通吃瓜者,男,非会员,6,1
9859,在添柴的天才,天下第一大卢瑟,不详,非会员,6,0
